Agent 0, dumb False ['0.005', '0.005', '0.243', '0.005', '0.243', '0.005', '0.005', '0.005', '0.243', '0.243']
Agent 1, dumb False ['0.005', '0.243', '0.243', '0.243', '0.005', '0.243', '0.005', '0.005', '0.005', '0.005']
Agent 2, dumb False ['0.005', '0.005', '0.243', '0.243', '0.243', '0.005', '0.005', '0.005', '0.243', '0.005']
Agent 3, dumb False ['0.005', '0.243', '0.243', '0.005', '0.005', '0.005', '0.243', '0.005', '0.005', '0.243']
Agent 4, dumb False ['0.005', '0.005', '0.243', '0.005', '0.243', '0.243', '0.005', '0.243', '0.005', '0.005']
Agent 5, dumb False ['0.005', '0.243', '0.005', '0.005', '0.005', '0.243', '0.005', '0.005', '0.243', '0.243']
Agent 6, dumb False ['0.005', '0.243', '0.243', '0.243', '0.005', '0.005', '0.005', '0.243', '0.005', '0.005']
Agent 7, dumb False ['0.243', '0.005', '0.243', '0.243', '0.005', '0.005', '0.005', '0.005', '0.005', '0.243']
Agent 8, dumb False ['0.005', '0.243', '0.005', '0.005', '0.005', '0.005', '0.005', '0.243', '0.243', '0.243']
Agent 9, dumb False ['0.243', '0.243', '0.243', '0.005', '0.005', '0.243', '0.005', '0.005', '0.005', '0.005']
Agent 10, dumb False ['0.005', '0.243', '0.005', '0.005', '0.005', '0.005', '0.005', '0.243', '0.243', '0.243']
Agent 11, dumb False ['0.005', '0.005', '0.243', '0.005', '0.243', '0.005', '0.243', '0.005', '0.005', '0.243']
Agent 12, dumb False ['0.005', '0.243', '0.005', '0.005', '0.243', '0.005', '0.243', '0.005', '0.243', '0.005']
Agent 13, dumb False ['0.005', '0.243', '0.005', '0.005', '0.243', '0.243', '0.005', '0.005', '0.005', '0.243']
Agent 14, dumb False ['0.243', '0.243', '0.005', '0.005', '0.005', '0.243', '0.005', '0.243', '0.005', '0.005']
Agent 15, dumb False ['0.005', '0.005', '0.005', '0.005', '0.005', '0.243', '0.243', '0.243', '0.243', '0.005']
Agent 16, dumb False ['0.005', '0.243', '0.005', '0.005', '0.243', '0.243', '0.005', '0.243', '0.005', '0.005']
Agent 17, dumb False ['0.243', '0.243', '0.005', '0.005', '0.243', '0.005', '0.005', '0.243', '0.005', '0.005']
Agent 18, dumb False ['0.005', '0.243', '0.005', '0.005', '0.243', '0.005', '0.243', '0.243', '0.005', '0.005']
Agent 19, dumb False ['0.005', '0.243', '0.243', '0.005', '0.005', '0.005', '0.243', '0.005', '0.005', '0.243']
